keyword,videos_checked,reason,loop
cara buat mercon,0,no_dangerous_content,1
cara bom karbit,0,no_dangerous_content,1
tutorial kuluwung raksasa,0,no_dangerous_content,1
membuat mercon karbit,0,no_dangerous_content,1
mercon buat sendiri,0,no_dangerous_content,1
mercon buatan,0,no_dangerous_content,1
mercon buatan kertas,0,no_dangerous_content,1
mercon buatan terbesar,0,no_dangerous_content,1
mercon buat jualan anak,0,no_dangerous_content,1
mercon spirtus,0,no_dangerous_content,1
tutorial mercon dari kertas,0,no_dangerous_content,1
mercon kertas tutorial,0,no_dangerous_content,1
tutorial mercon busi,0,no_dangerous_content,1
adonan super ses,0,no_dangerous_content,1
cara membuat petasan,0,no_dangerous_content,1
mercon dari bambu,0,no_dangerous_content,1
membuat mercon kertas,0,no_dangerous_content,1
buat ledakan,0,no_dangerous_content,1
membuat mercon gulungan,0,no_dangerous_content,1
cara mercon gulungan,0,no_dangerous_content,1
boster kelengkeng ledak,0,no_dangerous_content,1
boster klengkeng ledak,0,no_dangerous_content,1
booster kelengkeng ledak,0,no_dangerous_content,1
booster klengkeng ledak,0,no_dangerous_content,1
madas sp ledak,0,no_dangerous_content,1
blerang sulpur ledak,0,no_dangerous_content,1
sulfur 325 mesh ledak,0,no_dangerous_content,1
diy mercon,0,no_dangerous_content,1
racikan mercon,0,no_dangerous_content,1
racikan peledak,0,no_dangerous_content,1
tutorial membuat peledak,0,no_dangerous_content,1
merconkertas,0,no_dangerous_content,2
petasan,0,no_dangerous_content,2
spirtus,0,no_dangerous_content,2
merconspirtus,0,no_dangerous_content,2
