keyword,category,priority
tutorial petasan,fireworks_making,high
tutorial mercon,fireworks_making,high
tutorial buat mercon,fireworks_making,high
tutorial petasan mercon,fireworks_making,high
cara buat mercon,fireworks_making,high
cara bom karbit,improvised_explosive,critical
tutorial kuluwung raksasa,fireworks_making,high
membuat mercon karbit,improvised_explosive,critical
mercon buat sendiri,fireworks_making,high
mercon buatan,fireworks_making,medium
mercon buatan kertas,fireworks_making,high
mercon buatan terbesar,fireworks_making,medium
mercon buat jualan anak,fireworks_making,high
mercon busi,fireworks_making,high
mercon spirtus,improvised_explosive,critical
tutorial mercon dari kertas,fireworks_making,high
mercon kertas tutorial,fireworks_making,high
tutorial mercon busi,fireworks_making,high
adonan super ses,explosive_compound,critical
cara membuat petasan,fireworks_making,high
mercon dari bambu,fireworks_making,high
membuat mercon kertas,fireworks_making,high
buat ledakan,improvised_explosive,high
membuat mercon gulungan,fireworks_making,high
cara mercon gulungan,fireworks_making,high
boster kelengkeng ledak,explosive_compound,critical
boster klengkeng ledak,explosive_compound,critical
booster kelengkeng ledak,explosive_compound,critical
booster klengkeng ledak,explosive_compound,critical
Madas SP ledak,explosive_compound,critical
Blerang Sulpur ledak,explosive_compound,critical
sulfur 325 Mesh ledak,explosive_compound,critical
diy mercon,fireworks_making,high
racikan mercon,explosive_compound,critical
racikan peledak,explosive_compound,critical
tutorial membuat peledak,improvised_explosive,critical
